run_id,asset,timeframe,strategy,window_id,period,net_return_pct,max_drawdown_pct,trade_count,cost_drag_pct,passed
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,0,holdout,-8.35268505055775,8.35268505055775,6,100.00000000000003,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,1,validation,-0.47603909313601206,2.9987962848866694,2,99.99999999999781,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,1,holdout,-5.627099943604549,5.627099943604549,4,100.00000000000315,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,2,validation,-7.344656970530036,7.40912252427171,7,100.00000000000082,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,2,holdout,-0.2299271625896836,0.7498488605986113,1,100.00000000000104,True
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,3,validation,-8.35268505055775,8.35268505055775,6,100.00000000000003,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,3,holdout,-1.5462954287475783,2.875352253232529,2,100.00000000000068,True
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,4,validation,-5.627099943604549,5.627099943604549,4,100.00000000000315,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,4,holdout,-3.0914368933938476,5.221950286139644,3,100.00000000000016,True
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,5,validation,-0.2299271625896836,0.7498488605986113,1,100.00000000000104,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,5,holdout,-3.151004502404521,5.136656680990175,3,99.99999999999875,True
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,6,validation,-1.5462954287475783,2.875352253232529,2,100.00000000000068,False
BTC_1d_donchian_breakout,BTC,1d,donchian_breakout,6,holdout,2.476804116056087,3.03315753762704,1,100.00000000000608,True
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,0,validation,0.5237419066197617,2.3566574473138124,3,99.99999999999945,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,0,holdout,-2.1186348334634433,5.084304666095153,6,99.99999999999976,True
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,1,validation,-0.8411563638639337,3.1235933651904277,4,99.99999999999936,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,1,holdout,-2.317239378812451,7.6613751561024275,7,100.00000000000063,True
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,2,validation,-0.09303402566625892,3.1235933651904277,5,100.00000000000058,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,2,holdout,-2.3642260683932816,5.749821233017748,5,100.00000000000414,True
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,3,validation,-2.1186348334634433,5.084304666095153,6,99.99999999999976,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,3,holdout,-6.08875826517027,8.673397058231727,6,99.99999999999748,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,4,validation,-2.317239378812451,7.6613751561024275,7,100.00000000000063,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,4,holdout,-5.291088847352626,9.786673977516445,6,100.00000000000139,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,5,validation,-2.3642260683932816,5.749821233017748,5,100.00000000000414,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,5,holdout,-1.7391069165744284,4.721525853004004,3,100.0000000000024,True
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,6,validation,-6.08875826517027,8.673397058231727,6,99.99999999999748,False
BTC_1d_rsi_mean_reversion,BTC,1d,rsi_mean_reversion,6,holdout,4.201382697263216,1.4904870669251977,3,99.99999999999581,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,0,validation,0.1580237723496566,3.1450684176031487,3,99.99999999999945,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,0,holdout,-0.15232556667940572,3.9014173341723017,5,99.99999999999804,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,1,validation,-1.2656422279207162,2.851176635468063,4,99.99999999999872,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,1,holdout,-3.7586305621876592,6.99547058366497,6,99.99999999999638,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,2,validation,-0.5207225022738271,2.851176635468063,5,99.99999999999848,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,2,holdout,-2.1686548215456014,4.681831237549913,5,99.99999999999872,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,3,validation,-0.15232556667940572,3.9014173341723017,5,99.99999999999804,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,3,holdout,-6.439710374564765,8.534974194525189,6,99.99999999999855,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,4,validation,-3.7586305621876592,6.99547058366497,6,99.99999999999638,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,4,holdout,-3.9267662243766384,8.519639463667486,4,100.00000000000173,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,5,validation,-2.1686548215456014,4.681831237549913,5,99.99999999999872,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,5,holdout,-3.212384416579698,5.138905997865914,2,100.00000000000078,True
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,6,validation,-6.439710374564765,8.534974194525189,6,99.99999999999855,False
BTC_1d_bollinger_mean_reversion,BTC,1d,bollinger_mean_reversion,6,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,0,validation,-0.2777570579777603,1.0077921608384781,2,99.99999999999906,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,0,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,1,validation,-0.2777570579777603,1.0077921608384781,2,99.99999999999906,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,1,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,2,validation,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,2,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,3,validation,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,3,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,4,validation,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,4,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,5,validation,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,5,holdout,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,6,validation,0.0,0.0,0,0.0,False
BTC_1d_atr_breakout,BTC,1d,atr_breakout,6,holdout,0.0,0.0,0,0.0,False
