asset,bh_max_drawdown_pct,bh_return_pct,calmar_like,candle_count,cost_drag_pct,data_ok,drawdown_reduction_vs_bh,fee_bps,max_drawdown_pct,overlay,risk_adjusted_alpha,run_id,sharpe_ratio,strategy,time_in_market_pct,timeframe,total_return_pct,trade_count,turnover_ratio,ulcer_index,variant
BTC,3.1836,3.3301,-0.686,6603,99.99999999999926,True,0.5384,40.0,2.645255798031966,both,-1.9449,BTC_4h_trend_following_baseline_both,-2.199027236605182,trend_following,41.69,4h,-1.8146390638691514,42,5.1644,1.1895,baseline
BTC,3.1836,3.3301,0.2968,6603,100.00000000000242,True,0.9908,40.0,2.19280764040952,off,-1.2218,BTC_4h_trend_following_slow_off,0.5351962421586125,trend_following,68.28,4h,0.6508430122206732,6,1.2134,1.1004,slow
BTC,3.1836,3.3301,0.2968,6603,100.00000000000242,True,0.9908,40.0,2.19280764040952,vol,-1.2218,BTC_4h_trend_following_slow_vol,0.5351962421586125,trend_following,68.28,4h,0.6508430122206732,6,1.2134,1.1004,slow
BTC,3.1836,3.3301,-0.7048,6603,99.99999999999744,True,0.404,40.0,2.7796433106945613,panic,-1.9028,BTC_4h_trend_following_slow_panic,-2.512682265527307,trend_following,45.28,4h,-1.9590259967473458,42,4.7618,1.2852,slow
BTC,3.1836,3.3301,-0.7048,6603,99.99999999999744,True,0.404,40.0,2.7796433106945613,both,-1.9028,BTC_4h_trend_following_slow_both,-2.512682265527307,trend_following,45.28,4h,-1.9590259967473458,42,4.7618,1.2852,slow
BTC,3.1836,3.3301,0.8766,6603,100.00000000000242,True,1.434,40.0,1.7495762791288851,off,-1.0268,BTC_4h_trend_following_fast_off,1.1760487330062772,trend_following,60.54,4h,1.5336086081185727,8,1.627,0.8599,fast
BTC,3.1836,3.3301,0.8766,6603,100.00000000000242,True,1.434,40.0,1.7495762791288851,vol,-1.0268,BTC_4h_trend_following_fast_vol,1.1760487330062772,trend_following,60.54,4h,1.5336086081185727,8,1.627,0.8599,fast
BTC,3.1836,3.3301,-0.7022,6603,100.00000000000013,True,0.525,40.0,2.658609079803312,panic,-1.9548,BTC_4h_trend_following_fast_panic,-2.2720740354199003,trend_following,39.68,4h,-1.8668386854604135,40,4.9761,1.2157,fast
BTC,3.1836,3.3301,-0.7022,6603,100.00000000000013,True,0.525,40.0,2.658609079803312,both,-1.9548,BTC_4h_trend_following_fast_both,-2.2720740354199003,trend_following,39.68,4h,-1.8668386854604135,40,4.9761,1.2157,fast
ETH,20.0875,-9.3655,0.1531,1831,100.00000000000104,True,-9.3255,40.0,29.412944182786756,off,0.4716,ETH_1d_ema_crossover_baseline_off,0.21312339851170017,ema_crossover,81.61,1d,4.504456246488781,1,0.2501,14.5485,baseline
ETH,20.0875,-9.3655,0.5239,1831,99.99999999999872,True,9.8084,40.0,10.279033577255909,vol,1.435,ETH_1d_ema_crossover_baseline_vol,0.4046966582893706,ema_crossover,44.4,1d,5.384866072008026,12,2.223,5.2996,baseline
ETH,20.0875,-9.3655,-0.1185,1831,99.99999999999723,True,-3.6393,40.0,23.726741287019316,panic,0.2762,ETH_1d_ema_crossover_baseline_panic,-0.04095324206674694,ema_crossover,82.7,1d,-2.811968777481127,9,1.2923,11.7307,baseline
ETH,20.0875,-9.3655,0.9951,1831,100.00000000000256,True,13.2826,40.0,6.80488414940356,both,2.3713,ETH_1d_ema_crossover_baseline_both,0.5876765216697755,ema_crossover,44.04,1d,6.771238405423241,24,2.9629,3.6396,baseline
ETH,20.0875,-9.3655,0.1349,1831,100.00000000000104,True,-9.0207,40.0,29.108201285871644,off,0.4567,ETH_1d_ema_crossover_slow_off,0.19787323870104623,ema_crossover,81.62,1d,3.927629545355376,1,0.2501,14.3975,slow
ETH,20.0875,-9.3655,0.2516,1831,100.00000000000196,True,7.77,40.0,12.317415476078986,vol,1.012,ETH_1d_ema_crossover_slow_vol,0.23508933246585578,ema_crossover,44.23,1d,3.0993683260869602,12,2.3144,6.5473,slow
ETH,20.0875,-9.3655,-0.1357,1831,100.00000000000509,True,-3.6393,40.0,23.72674128701932,panic,0.259,ETH_1d_ema_crossover_slow_panic,-0.056790948901325376,ema_crossover,82.47,1d,-3.220472800326024,9,1.2848,11.7361,slow
